Species to add,,,,,,,,,,,,,
Site,Feeder,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th
1,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,sunflower,peanuts,oats,mealworm,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,wheat,brown top millet,rye,white millet,corn,mealworm,soldier fly larvae,sunflower,NA,NA,NA,NA
,High,sunflower,rye,wheat,brown top millet,peanuts,safflower,soldier fly larvae,corn,nyjer,oats,mealworm,white millet
2,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,corn,wheat,oats,nyjer,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,sunflower,nyjer,corn,white millet,peanuts,rye,safflower,wheat,NA,NA,NA,NA
,High,rye,peanuts,white millet,mealworm,nyjer,corn,oats,safflower,brown top millet,soldier fly larvae,wheat,sunflower
3,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,wheat,rye,oats,mealworm,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,mealworm,nyjer,safflower,soldier fly larvae,wheat,oats,sunflower,rye,NA,NA,NA,NA
,High,sunflower,brown top millet,corn,nyjer,rye,white millet,soldier fly larvae,wheat,safflower,peanuts,mealworm,oats
4,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,nyjer,wheat,corn,rye,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,rye,mealworm,white millet,wheat,brown top millet,sunflower,peanuts,oats,NA,NA,NA,NA
,High,oats,brown top millet,wheat,sunflower,nyjer,rye,corn,safflower,mealworm,peanuts,soldier fly larvae,white millet
5,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,white millet,oats,soldier fly larvae,brown top millet,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,sunflower,oats,safflower,soldier fly larvae,corn,brown top millet,peanuts,white millet,NA,NA,NA,NA
,High,mealworm,white millet,oats,sunflower,peanuts,brown top millet,soldier fly larvae,corn,wheat,safflower,rye,nyjer
6,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,wheat,nyjer,soldier fly larvae,sunflower,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,brown top millet,wheat,oats,nyjer,rye,safflower,soldier fly larvae,peanuts,NA,NA,NA,NA
,High,safflower,soldier fly larvae,oats,white millet,corn,brown top millet,sunflower,nyjer,peanuts,mealworm,rye,wheat
7,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,mealworm,rye,oats,white millet,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,corn,nyjer,wheat,mealworm,oats,rye,peanuts,sunflower,NA,NA,NA,NA
,High,oats,rye,peanuts,brown top millet,sunflower,safflower,mealworm,white millet,soldier fly larvae,wheat,corn,nyjer
8,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,sunflower,nyjer,rye,brown top millet,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,corn,sunflower,rye,peanuts,wheat,soldier fly larvae,mealworm,white millet,NA,NA,NA,NA
,High,nyjer,white millet,corn,mealworm,sunflower,brown top millet,safflower,rye,peanuts,soldier fly larvae,oats,wheat
9,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,rye,wheat,corn,brown top millet,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,wheat,nyjer,peanuts,brown top millet,sunflower,mealworm,rye,oats,NA,NA,NA,NA
,High,brown top millet,rye,safflower,wheat,white millet,soldier fly larvae,mealworm,corn,sunflower,nyjer,peanuts,oats
10,Empty,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Low,mealworm,brown top millet,sunflower,corn,NA,NA,NA,NA,NA,NA,NA,NA
,Medium,oats,safflower,wheat,rye,sunflower,soldier fly larvae,peanuts,white millet,NA,NA,NA,NA
,High,soldier fly larvae,peanuts,white millet,safflower,mealworm,sunflower,corn,wheat,oats,brown top millet,rye,nyjer
